id,nome,cognome,età,genere,ore_studio,assenze,media_voti,comportamento,esito_finale
57,Andrea,Pellegrini,19,F,1.6,206,9.5,sufficiente,promosso
58,Enrico,Hallal,14,M,3.9,25,4.7,buono,bocciato
59,Simona,Lopes,19,F,3.0,56,4.2,sufficiente,bocciato
60,Valentina,Mancini,15,F,1.3,36,4.2,sufficiente,bocciato
61,Elena,Greco,19,F,7.3,23,5.9,sufficiente,promosso
62,Alessandra,Leone,16,F,1.7,54,8.5,scarso,bocciato
63,Filippo,Martini,16,M,7.3,121,4.7,sufficiente,bocciato
64,Davide,Fontana,17,M,7.8,110,6.6,ottimo,promosso
65,Alice,Leone,14,F,2.1,99,8.7,ottimo,promosso
66,Marta,Lombardi,14,F,2.5,46,8.7,scarso,bocciato
67,Francesca,Lopes,17,F,1.6,60,4.9,sufficiente,bocciato
68,Barbara,Marchetti,19,F,6.7,77,9.3,scarso,bocciato
69,Federica,Esposito,16,F,3.3,28,6.4,sufficiente,promosso
70,Alessia,Rizzo,18,F,3.7,207,5.5,sufficiente,promosso
71,Dino,Serra,15,M,0.4,68,9.8,sufficiente,promosso
72,Marco,De Luca,18,M,3.7,51,6.8,scarso,bocciato
73,Beatrice,De Luca,16,F,6.9,42,5.3,sufficiente,bocciato
74,Anna,Ricci,16,F,4.9,188,6.7,buono,promosso
75,Lorenzo,Orlando,15,M,4.3,40,5.2,scarso,bocciato
76,Veronica,Valentini,20,F,3.5,41,8.0,sufficiente,promosso
77,Veronica,Pdor,17,F,0.3,87,5.4,scarso,bocciato
78,Giovanni,Fabbri,20,M,7.3,47,8.1,buono,promosso
79,Claudia,Grassi,17,F,4.2,208,7.4,sufficiente,promosso
80,Alice,Rinaldi,16,F,7.0,128,5.3,ottimo,bocciato
81,Laura,Hallal,20,F,0.6,6,7.0,scarso,bocciato
82,Angela,Longo,17,F,0.1,194,7.1,buono,promosso
83,Daniele,Valentini,19,M,6.3,40,8.7,sufficiente,promosso
84,Fabio,Leone,18,M,7.5,84,4.1,sufficiente,bocciato
85,Filippo,Farina,15,M,1.8,44,9.5,sufficiente,promosso
86,Fabio,Piras,17,M,7.6,194,5.9,buono,promosso
87,Gabriele,Piras,18,M,5.7,136,5.4,ottimo,promosso
88,Camilla,Martini,17,F,3.2,216,7.1,sufficiente,promosso
89,Alfio,Orlando,16,M,3.2,115,5.0,sufficiente,bocciato
90,Maurizio,Ricci,16,M,7.4,197,9.1,ottimo,promosso
91,Eleonora,Crodino,14,F,0.6,3,7.1,ottimo,promosso
92,Silvia,Rizzo,20,F,7.5,195,7.5,ottimo,promosso
93,Cristina,Santoro,20,F,7.9,196,7.9,scarso,bocciato
94,Laura,Ferrari,16,F,3.2,193,4.0,ottimo,bocciato
95,Barbara,Ferraro,15,F,4.0,213,8.6,buono,promosso
96,Agamennone,Farina,18,M,0.7,92,7.4,sufficiente,promosso
97,Simona,Rizzo,20,F,0.1,93,4.7,scarso,bocciato
98,Maurizio,Galli,17,M,3.2,1,8.9,ottimo,promosso
99,Alice,Zhing,19,F,6.9,121,5.4,buono,promosso
100,Vincenzo,Longo,19,M,7.5,21,5.0,sufficiente,bocciato
101,Anna,Lopes,19,F,4.1,42,5.5,buono,promosso
102,Stefano,Galli,17,M,0.8,196,6.1,ottimo,promosso
103,Martina,Gentile,18,F,0.3,162,8.4,sufficiente,promosso
104,Claudia,Orlando,16,F,5.3,213,5.6,sufficiente,promosso
105,Claudia,Pdor,20,F,3.9,49,10.0,ottimo,promosso
106,Veronica,Orlando,18,F,6.6,89,4.6,ottimo,bocciato
107,Andrea,Bruno,19,M,3.8,213,5.8,sufficiente,promosso
108,Chiara,Villa,15,F,4.9,182,4.7,sufficiente,bocciato
109,Andrea,Ferrari,20,M,5.2,1,9.4,buono,promosso
110,Ilaria,Rinaldi,18,F,3.2,198,6.3,sufficiente,promosso
111,Alfio,Piras,16,M,5.4,84,5.4,sufficiente,promosso
112,Martina,Martinelli,14,F,7.1,194,7.0,ottimo,promosso
113,Davide,Grassi,15,M,2.9,141,4.3,scarso,bocciato
114,Veronica,Villa,19,F,8.0,177,5.7,sufficiente,promosso
115,Salvatore,Crodino,18,M,0.5,95,8.4,sufficiente,promosso
116,Silvia,Hallal,18,F,2.5,144,4.7,scarso,bocciato
117,Martina,Russo,15,F,6.7,109,4.0,scarso,bocciato
118,Francesca,Costa,15,F,7.4,24,9.7,ottimo,promosso
119,Sofia,Villa,20,F,6.3,108,5.9,ottimo,promosso
120,Andrea,Fabbri,16,M,7.6,217,9.9,ottimo,promosso
121,Alessandro,Ferrari,14,M,7.5,197,8.7,ottimo,promosso
122,Claudio,Barbieri,16,M,2.8,106,8.8,ottimo,promosso
123,Vincenzo,Galli,18,M,1.0,123,5.2,buono,bocciato
124,Jack,Ferraro,17,M,0.3,164,6.6,sufficiente,promosso
125,Cristina,Rizzo,19,F,1.6,213,10.0,buono,promosso
126,Andrea,Hallal,20,F,2.7,21,5.0,ottimo,bocciato
127,Federica,Moretti,14,F,7.6,191,5.2,sufficiente,bocciato
128,Marta,Ferrari,19,F,7.5,5,7.1,scarso,bocciato
129,Federica,Valentini,14,F,3.1,76,9.7,scarso,bocciato
130,Eleonora,Sala,14,F,5.4,85,7.8,sufficiente,promosso
131,Alessandra,Barbieri,14,F,7.7,67,8.9,buono,promosso
132,Barbara,Santoro,19,F,7.7,149,6.1,buono,promosso
133,Enrico,Piras,15,M,6.5,101,6.2,buono,promosso
134,Alessia,Santoro,18,F,4.2,24,8.3,buono,promosso
135,Roberta,Martinelli,16,F,1.0,219,7.6,sufficiente,promosso
136,Alfio,Santoro,14,M,3.1,17,7.7,sufficiente,promosso
137,Davide,Santoro,16,M,2.6,46,8.7,sufficiente,promosso
138,Gabriele,Cattaneo,14,M,5.5,138,10.0,buono,promosso
139,Sofia,Sanna,18,F,7.7,14,5.0,sufficiente,bocciato
140,Veronica,Romano,19,F,7.5,162,7.7,scarso,bocciato
141,Luca,Crodino,17,M,1.2,48,5.4,sufficiente,promosso
142,Fabio,De Luca,15,M,5.5,176,5.9,sufficiente,promosso
143,Enrico,Villa,16,M,5.3,70,4.4,sufficiente,bocciato
144,Andrea,Ferrari,14,M,0.9,19,9.5,sufficiente,promosso
145,Riccardo,De Luca,15,M,7.1,206,5.0,buono,bocciato
146,Claudia,Ricci,18,F,2.1,67,4.6,sufficiente,bocciato
147,Agamennone,Santoro,16,M,4.8,43,6.6,buono,promosso
148,Paolo,Ricci,14,M,2.6,61,8.6,sufficiente,promosso
149,Alice,Cattaneo,19,F,7.2,87,6.9,sufficiente,promosso
150,Salvatore,Galli,14,M,4.1,197,4.6,sufficiente,bocciato
151,Maurizio,Giordano,18,M,5.4,68,6.4,ottimo,promosso
152,Alberto,Esposito,16,M,4.8,84,9.0,buono,promosso
153,Enrico,Cavallaro,19,M,3.5,107,9.8,buono,promosso
154,Francesco,Orlando,20,M,3.9,220,4.1,buono,bocciato
155,Marco,Romano,16,M,3.6,78,6.4,buono,promosso
156,Giovanni,Sanna,16,M,3.8,40,6.0,scarso,bocciato
157,Davide,Zhing,19,M,5.9,98,5.2,buono,bocciato
158,Andrea,Cattaneo,19,F,5.1,180,9.7,sufficiente,promosso
159,Laura,Ricci,15,F,0.3,145,8.7,scarso,bocciato
160,Nicole,Longo,15,F,4.8,68,7.1,sufficiente,promosso
161,Tommaso,Orlando,19,M,5.7,130,4.4,buono,bocciato
162,Pdor,Longo,17,M,6.3,103,8.4,sufficiente,promosso
163,Barbara,De Luca,16,F,0.8,96,6.5,scarso,bocciato
164,Federica,Longo,20,F,1.8,46,6.3,sufficiente,promosso
165,Angela,Barbieri,16,F,0.5,129,5.9,buono,promosso
166,Ilaria,Crodino,17,F,5.1,112,7.2,sufficiente,promosso
167,Alfio,Hallal,14,M,4.2,80,8.1,scarso,bocciato
168,Paolo,Mariani,15,M,1.6,204,4.6,buono,bocciato
169,Sara,Monti,14,F,7.8,35,9.3,sufficiente,promosso
170,Cristina,Gentile,16,F,4.0,44,7.8,sufficiente,promosso
171,Alessandra,Esposito,17,F,6.3,87,5.2,scarso,bocciato
172,Alfio,Ferraro,19,M,4.2,123,8.2,scarso,bocciato
173,Federica,Rinaldi,18,F,8.0,143,6.7,scarso,bocciato
174,Sara,Rinaldi,14,F,0.9,147,8.2,ottimo,promosso
175,Luca,Crodino,20,M,0.4,122,9.4,buono,promosso
176,Alessandra,Galli,20,F,0.8,26,8.3,buono,promosso
177,Alessandra,Russo,19,F,3.4,208,7.5,scarso,bocciato
178,Alessia,Lombardi,16,F,7.9,78,7.1,sufficiente,promosso
179,Ezechiele,Esposito,20,M,4.4,56,7.4,sufficiente,promosso
180,Sara,Piras,20,F,5.1,163,4.4,ottimo,bocciato
181,Simona,Lopes,18,F,4.4,183,5.6,sufficiente,promosso
182,Claudia,Orlando,19,F,6.1,104,5.2,scarso,bocciato
183,Martina,Ferraro,17,F,3.3,107,8.9,scarso,bocciato
184,Valentina,Pdor,19,F,5.6,111,7.2,ottimo,promosso
185,Laura,Longo,18,F,3.6,145,4.2,buono,bocciato
186,Salvatore,Monti,16,M,7.3,74,5.3,buono,bocciato
187,Luca,Valentini,18,M,2.7,86,5.4,sufficiente,promosso
188,Valentina,Rinaldi,17,F,7.4,86,9.5,sufficiente,promosso
189,Elena,Zhing,17,F,1.6,145,7.6,scarso,bocciato
190,Daniele,Orlando,17,M,6.2,159,9.6,scarso,bocciato
191,Anna,Esposito,14,F,1.4,74,8.7,sufficiente,promosso
192,Marta,Moretti,18,F,5.6,85,4.6,ottimo,bocciato
193,Paola,Giordano,20,F,2.8,49,8.9,ottimo,promosso
194,Filippo,Cattaneo,14,M,1.7,58,8.0,sufficiente,promosso
195,Barbara,Hallal,17,F,5.6,32,7.1,ottimo,promosso
196,Giulia,De Santis,17,F,1.0,13,8.5,sufficiente,promosso
197,Veronica,Gentile,18,F,6.2,10,8.0,buono,promosso
198,Laura,Crodino,15,F,3.7,217,9.0,buono,promosso
199,Paola,Conti,18,F,2.5,151,4.3,ottimo,bocciato
200,Tommaso,Bruno,15,M,2.9,98,5.5,buono,promosso
201,Stefano,Crodino,17,M,0.8,110,4.0,buono,bocciato
202,Giovanni,Bruno,15,M,5.9,23,7.9,sufficiente,promosso
203,Giovanni,Giordano,17,M,4.8,79,8.3,sufficiente,promosso
204,Cristina,Grassi,16,F,3.0,217,9.6,sufficiente,promosso
205,Michele,Rossi,15,M,0.7,123,7.2,ottimo,promosso
206,Laura,Ferrari,18,F,1.6,64,6.5,sufficiente,promosso
207,Francesco,Grassi,20,M,7.8,28,5.9,ottimo,promosso
208,Salvatore,Bellini,19,M,3.6,142,4.6,sufficiente,bocciato
209,Eleonora,Romano,19,F,0.7,179,9.1,buono,promosso
210,Alfio,Santoro,20,M,0.8,75,5.2,scarso,bocciato
211,Ilaria,Lopes,16,F,1.3,47,9.0,buono,promosso
212,Alberto,Zhing,19,M,3.3,147,9.3,scarso,bocciato
213,Enrico,Costa,18,M,6.4,85,4.6,sufficiente,bocciato
214,Jack,Marino,19,M,6.8,187,4.6,buono,bocciato
215,Paolo,Fabbri,19,M,1.1,141,5.7,sufficiente,promosso
216,Alessia,Santoro,20,F,3.8,60,8.5,buono,promosso
217,Maria,Cattaneo,19,F,2.9,86,9.1,buono,promosso
218,Angela,Romano,17,F,1.4,196,7.8,buono,promosso
219,Maria,Hallal,19,F,1.5,156,6.1,scarso,bocciato
220,Tommaso,Martinelli,18,M,0.5,157,5.5,buono,promosso
221,Salvatore,Ricci,19,M,7.2,29,6.3,buono,promosso
222,Pdor,Valentini,20,M,5.2,62,9.1,ottimo,promosso
223,Gabriele,Caruso,16,M,7.8,24,4.2,buono,bocciato
224,Angela,Pdor,17,F,6.2,82,6.8,sufficiente,promosso
225,Filippo,Martinelli,20,M,1.5,177,8.8,sufficiente,promosso
226,Andrea,Greco,18,F,6.2,113,6.3,buono,promosso
227,Vincenzo,Martini,15,M,7.7,198,5.4,buono,promosso
228,Jack,Sanna,17,M,5.0,156,6.5,ottimo,promosso
229,Daniele,Ferraro,19,M,1.0,101,5.2,sufficiente,bocciato
230,Eleonora,Sanna,17,F,6.9,50,8.0,sufficiente,promosso
231,Marta,Rizzo,19,F,5.3,104,5.8,ottimo,promosso
232,Stefano,Crodino,18,M,1.5,140,5.8,buono,promosso
233,Andrea,De Luca,17,M,0.9,208,8.3,buono,promosso
234,Federica,Martinelli,14,F,0.3,139,4.8,sufficiente,bocciato
235,Michele,Sala,15,M,3.0,133,9.6,scarso,bocciato
236,Marco,Giordano,17,M,4.4,136,7.1,sufficiente,promosso
237,Alfio,Gentile,16,M,7.9,21,7.4,buono,promosso
238,Giuseppe,Monti,19,M,6.1,180,4.5,buono,bocciato
239,Tommaso,Galli,15,M,1.5,42,8.8,buono,promosso
240,Francesco,Grassi,20,M,3.0,203,8.6,scarso,bocciato
241,Veronica,Ferrari,18,F,4.9,33,9.7,sufficiente,promosso
242,Alberto,Orlando,14,M,0.1,191,6.1,sufficiente,promosso
243,Veronica,Romano,19,F,4.2,82,8.1,scarso,bocciato
244,Simone,Hallal,16,M,7.1,163,9.3,sufficiente,promosso
245,Daniele,Ricci,15,M,4.0,182,4.1,scarso,bocciato
246,Barbara,Fontana,18,F,1.4,59,4.8,sufficiente,bocciato
247,Claudio,Lopes,17,M,6.1,210,9.9,scarso,bocciato
248,Federica,Ferrari,15,F,4.0,36,5.3,scarso,bocciato
249,Francesco,Lopes,19,M,2.1,7,7.4,sufficiente,promosso
250,Valentina,Piras,18,F,2.7,194,9.9,ottimo,promosso
251,Alfio,Lombardi,18,M,2.5,156,8.0,sufficiente,promosso
252,Valentina,Greco,18,F,5.9,133,4.2,buono,bocciato
253,Antonio,Galli,15,M,2.9,175,9.4,sufficiente,promosso
254,Andrea,Barbieri,19,F,2.4,210,6.0,buono,promosso
255,Sara,De Luca,16,F,4.0,185,6.8,sufficiente,promosso
256,Emanuele,Colombo,14,M,5.4,22,5.2,sufficiente,bocciato
257,Camilla,Moretti,16,F,3.9,100,9.1,buono,promosso
258,Vincenzo,Lopes,17,M,7.6,150,4.9,sufficiente,bocciato
259,Federica,Rinaldi,15,F,3.3,194,4.5,ottimo,bocciato
260,Beatrice,Moretti,16,F,3.5,7,5.2,scarso,bocciato
261,Giuseppe,Marino,15,M,2.5,131,9.2,ottimo,promosso
262,Francesca,Galli,19,F,7.0,75,8.6,sufficiente,promosso
263,Luca,Martini,20,M,1.0,99,8.9,sufficiente,promosso
264,Laura,Cattaneo,14,F,1.2,215,5.4,buono,promosso
265,Giovanni,Romano,18,M,7.7,153,9.0,sufficiente,promosso
266,Camilla,Longo,15,F,6.6,127,7.8,scarso,bocciato
267,Emanuele,Sanna,20,M,2.3,205,4.4,buono,bocciato
268,Elisa,Russo,17,F,3.0,42,5.4,ottimo,promosso
269,Laura,De Santis,14,F,3.1,216,4.3,ottimo,bocciato
270,Agamennone,Giordano,17,M,7.4,184,6.3,sufficiente,promosso
271,Federico,Orlando,18,M,2.2,89,9.8,ottimo,promosso
272,Ezechiele,Gallo,15,M,4.0,159,6.1,scarso,bocciato
273,Marta,Greco,17,F,2.6,176,5.9,ottimo,promosso
274,Paolo,Rossi,17,M,7.3,94,6.3,buono,promosso
275,Francesco,Romano,18,M,6.3,10,6.3,buono,promosso
276,Alice,Villa,16,F,5.0,139,9.2,sufficiente,promosso
277,Maria,Sanna,19,F,4.6,37,7.3,ottimo,promosso
278,Emanuele,Ricci,20,M,5.3,38,6.8,buono,promosso
279,Valentina,Rizzo,14,F,3.9,121,8.6,ottimo,promosso
280,Luca,Ricci,19,M,3.7,60,4.9,sufficiente,bocciato
281,Paola,Ricci,16,F,5.4,149,5.1,scarso,bocciato
282,Simona,Barbieri,15,F,4.1,196,7.7,buono,promosso
283,Silvia,Pdor,20,F,1.0,128,8.2,buono,promosso
284,Claudio,Moretti,17,M,2.8,192,7.1,buono,promosso
285,Beatrice,Lombardi,15,F,5.6,163,5.6,scarso,bocciato
286,Silvia,Leone,16,F,1.5,68,7.0,scarso,bocciato
287,Luca,Marchetti,15,M,4.3,204,6.5,buono,promosso
288,Jack,Grassi,18,M,4.4,8,6.2,sufficiente,promosso
289,Valentina,Hallal,16,F,3.1,26,9.9,sufficiente,promosso
290,Ilaria,Martinelli,19,F,1.4,0,9.7,sufficiente,promosso
291,Roberta,Mancini,20,F,2.0,74,8.0,ottimo,promosso
292,Alfio,Sanna,14,M,1.6,143,9.9,scarso,bocciato
293,Alessandro,Ferraro,18,M,7.9,168,4.9,sufficiente,bocciato
294,Laura,Lopes,15,F,7.4,123,7.3,scarso,bocciato
295,Alice,Santoro,14,F,0.9,67,7.8,sufficiente,promosso
296,Nicola,Moretti,15,M,3.1,209,9.0,ottimo,promosso
297,Federica,Bellini,16,F,5.3,7,10.0,buono,promosso
298,Daniele,Monti,20,M,7.6,130,8.8,buono,promosso
299,Marta,De Santis,16,F,1.8,44,7.0,ottimo,promosso
300,Ilaria,Ricci,15,F,7.4,99,9.5,buono,promosso
301,Andrea,Galli,18,M,1.5,217,7.9,buono,promosso
302,Claudio,Farina,20,M,6.6,10,7.1,scarso,bocciato
303,Fabio,Mariani,17,M,7.2,59,9.7,scarso,bocciato
304,Andrea,Rossi,15,M,6.6,67,9.6,sufficiente,promosso
305,Alfio,Gallo,18,M,6.4,76,9.1,sufficiente,promosso
306,Stefano,Bruno,18,M,4.0,106,5.6,scarso,bocciato
307,Maurizio,Grassi,16,M,3.5,203,5.7,sufficiente,promosso
308,Camilla,Crodino,20,F,1.4,128,4.7,scarso,bocciato
309,Tommaso,Rizzo,16,M,5.8,80,5.0,buono,bocciato
310,Pdor,Villa,17,M,7.0,195,8.2,sufficiente,promosso
311,Nicole,Gallo,17,F,7.2,46,7.4,buono,promosso
312,Simone,Conti,19,M,0.9,128,6.3,buono,promosso
313,Veronica,Marino,15,F,0.0,36,8.6,sufficiente,promosso
314,Filippo,Bianchi,15,M,1.9,48,8.1,sufficiente,promosso
315,Laura,Romano,16,F,4.4,98,7.5,buono,promosso
316,Francesco,Mancini,14,M,6.4,152,5.4,ottimo,promosso
317,Camilla,Colombo,14,F,0.6,60,7.3,buono,promosso
318,Chiara,Rinaldi,18,F,2.3,20,4.6,buono,bocciato
319,Emanuele,Leone,20,M,7.0,202,6.8,sufficiente,promosso
320,Agamennone,Valentini,14,M,4.3,41,9.4,ottimo,promosso
321,Enrico,Bruno,14,M,0.6,139,8.6,sufficiente,promosso
322,Valentina,Marchetti,14,F,5.9,119,6.5,scarso,bocciato
323,Valentina,Valentini,18,F,6.5,172,5.2,buono,bocciato
324,Salvatore,Pellegrini,15,M,2.4,179,6.7,ottimo,promosso
325,Barbara,Rossi,16,F,5.3,138,7.4,buono,promosso
326,Claudia,Mariani,20,F,7.8,172,6.4,scarso,bocciato
327,Roberto,Hallal,14,M,0.8,19,6.3,buono,promosso
328,Antonio,Moretti,20,M,5.6,0,10.0,buono,promosso
329,Anna,Crodino,14,F,4.4,27,4.8,scarso,bocciato
330,Sofia,De Santis,20,F,1.6,122,9.4,scarso,bocciato
331,Enrico,Ferrari,16,M,7.8,92,9.2,ottimo,promosso
332,Claudio,Serra,15,M,4.1,108,9.8,sufficiente,promosso
333,Marta,Colombo,20,F,6.4,152,9.3,sufficiente,promosso
334,Francesco,Lopes,17,M,2.4,113,8.3,sufficiente,promosso
335,Simone,Costa,19,M,0.2,186,4.3,scarso,bocciato
336,Beatrice,Sanna,18,F,2.7,24,4.8,buono,bocciato
337,Jack,Gallo,18,M,1.4,178,6.9,buono,promosso
338,Simona,Longo,16,F,1.0,4,8.5,ottimo,promosso
339,Marta,Crodino,18,F,7.7,150,9.0,scarso,bocciato
340,Paola,Rizzo,20,F,7.5,178,6.6,buono,promosso
341,Elisa,Martinelli,14,F,4.2,94,6.5,ottimo,promosso
342,Davide,Bruno,16,M,0.8,48,4.2,sufficiente,bocciato
343,Lorenzo,Cattaneo,18,M,2.1,214,4.2,sufficiente,bocciato
344,Jack,Moretti,18,M,6.8,40,9.7,sufficiente,promosso
345,Emanuele,Caruso,17,M,3.5,144,9.3,sufficiente,promosso
346,Antonio,Conti,15,M,0.4,184,4.9,buono,bocciato
347,Federica,Cavallaro,19,F,5.5,86,8.1,buono,promosso
348,Enrico,Galli,16,M,0.8,98,7.6,sufficiente,promosso
349,Simona,Cattaneo,20,F,0.4,49,4.7,sufficiente,bocciato
350,Stefano,Greco,18,M,5.9,140,4.2,buono,bocciato
351,Claudia,Martini,19,F,6.9,166,8.6,sufficiente,promosso
352,Veronica,Romano,18,F,2.4,98,7.8,buono,promosso
353,Alfio,De Luca,20,M,1.6,197,5.0,sufficiente,bocciato
354,Veronica,Santoro,14,F,0.3,26,5.3,buono,bocciato
355,Federica,Zhing,18,F,1.8,58,6.8,buono,promosso
356,Giovanni,Serra,17,M,4.2,144,4.1,scarso,bocciato
357,Enrico,Mancini,16,M,3.0,100,5.5,scarso,bocciato
358,Elisa,Santoro,18,F,6.0,47,6.0,sufficiente,promosso
359,Federica,Pellegrini,16,F,1.0,120,9.0,sufficiente,promosso
360,Antonio,Rinaldi,16,M,4.1,61,9.3,scarso,bocciato
361,Giulia,Leone,16,F,6.6,55,8.1,sufficiente,promosso
362,Elena,Rizzo,18,F,2.8,64,4.3,buono,bocciato
363,Angela,Pellegrini,18,F,7.7,202,5.9,buono,promosso
364,Sara,Rinaldi,20,F,0.8,141,6.1,buono,promosso
365,Simona,Marino,18,F,5.5,128,8.4,buono,promosso
366,Alfio,Sanna,18,M,1.6,103,4.7,buono,bocciato
367,Veronica,Farina,15,F,3.6,34,5.0,ottimo,bocciato
368,Ilaria,Farina,19,F,7.7,46,7.8,ottimo,promosso
369,Stefano,Marchetti,19,M,0.5,83,8.6,buono,promosso
370,Davide,Bianchi,15,M,6.6,123,6.0,sufficiente,promosso
371,Paola,Lopes,20,F,3.1,165,4.2,buono,bocciato
372,Ilaria,Marino,19,F,3.1,117,8.3,sufficiente,promosso
373,Simone,Barbieri,17,M,5.1,118,5.0,ottimo,bocciato
374,Alessia,Piras,16,F,7.4,94,7.9,buono,promosso
375,Vincenzo,Crodino,18,M,2.8,110,5.6,sufficiente,promosso
376,Sara,Caruso,15,F,7.6,115,8.2,sufficiente,promosso
377,Paola,Longo,14,F,0.6,29,5.7,ottimo,promosso
378,Beatrice,Leone,16,F,0.5,79,7.6,sufficiente,promosso
379,Nicola,Lopes,19,M,4.5,129,8.7,sufficiente,promosso
380,Ilaria,Mariani,18,F,5.8,91,7.6,ottimo,promosso
381,Andrea,Serra,18,M,6.6,10,6.0,buono,promosso
382,Alessandro,Valentini,19,M,4.4,19,8.4,scarso,bocciato
383,Alessandro,Colombo,17,M,2.0,27,9.2,buono,promosso
384,Antonio,Farina,14,M,3.9,32,9.8,scarso,bocciato
385,Anna,Lombardi,19,F,3.6,160,4.2,sufficiente,bocciato
386,Veronica,Grassi,16,F,6.3,123,5.3,buono,bocciato
387,Roberta,Piras,20,F,7.9,150,6.6,scarso,bocciato
388,Anna,Orlando,16,F,3.1,126,5.0,buono,bocciato
389,Alice,Gallo,18,F,3.0,182,9.0,buono,promosso
390,Francesca,Sanna,15,F,7.9,58,7.8,sufficiente,promosso
391,Laura,Lopes,15,F,5.6,88,5.3,scarso,bocciato
392,Francesca,Ricci,18,F,7.3,82,9.6,scarso,bocciato
393,Pdor,Rossi,17,M,2.3,78,7.1,sufficiente,promosso
394,Cristina,Valentini,20,F,6.8,83,4.7,sufficiente,bocciato
395,Pdor,Mariani,17,M,6.7,141,4.7,sufficiente,bocciato
396,Chiara,Romano,14,F,5.7,59,6.0,scarso,bocciato
397,Sofia,Cattaneo,20,F,3.7,194,4.9,buono,bocciato
398,Filippo,Caruso,18,M,0.8,207,7.5,buono,promosso
