id,nome,cognome,età,genere,ore_studio,assenze,media_voti,comportamento,esito_finale
76,Simone,Farina,20,M,6.5,41,4.7,scarso,bocciato
77,Camilla,Sala,14,F,3.5,159,8.5,buono,promosso
78,Elisa,Farina,16,F,2.1,144,5.5,scarso,bocciato
79,Davide,Piras,15,M,2.3,34,8.7,sufficente,promosso
80,Gabriele,Monti,18,M,4.9,59,4.5,buono,bocciato
81,Silvia,Ferraro,20,F,1.4,66,4.2,sufficente,bocciato
82,Federica,Rinaldi,14,F,0.8,102,7.9,buono,promosso
83,Dino,Russo,17,M,0.6,116,9.9,ottimo,promosso
84,Eleonora,Bianchi,20,F,4.8,148,8.3,buono,promosso
85,Antonio,Marchetti,20,M,6.0,109,9.7,scarso,bocciato
86,Federica,Ricci,14,F,6.3,99,8.3,buono,promosso
87,Pdor,Galli,17,M,2.0,12,8.6,sufficente,promosso
88,Roberta,Grassi,16,F,1.4,124,4.1,buono,bocciato
89,Michele,Greco,17,M,6.5,42,5.4,buono,promosso
90,Martina,Ferrari,14,F,4.7,142,9.5,buono,promosso
91,Beatrice,Rossi,18,F,0.7,48,5.2,buono,bocciato
92,Pdor,Lombardi,16,M,3.9,17,7.0,ottimo,promosso
93,Vincenzo,Giordano,14,M,5.2,51,7.0,buono,promosso
94,Giovanni,Fabbri,15,M,4.6,5,4.7,scarso,bocciato
95,Alessia,Mancini,19,F,5.6,192,9.2,sufficente,promosso
96,Roberto,Cattaneo,14,M,0.9,125,5.7,sufficente,promosso
97,Vincenzo,Valentini,17,M,4.0,88,5.1,sufficente,bocciato
98,Alice,Martini,18,F,7.0,41,8.7,buono,promosso
99,Alessandra,Mariani,20,F,4.8,198,5.8,sufficente,promosso
100,Marco,Santoro,14,M,1.9,13,5.3,buono,bocciato
101,Giulia,Grassi,17,F,4.9,95,5.5,scarso,bocciato
102,Agamennone,Pdor,20,M,5.0,138,6.2,scarso,bocciato
103,Michele,Bruno,14,M,6.5,94,9.1,buono,promosso
104,Elisa,Rinaldi,20,F,1.3,144,8.9,scarso,bocciato
105,Jack,Bellini,18,M,4.5,16,7.1,sufficente,promosso
106,Andrea,De Luca,17,M,3.5,79,4.6,buono,bocciato
107,Alberto,Rinaldi,15,M,1.6,184,8.8,ottimo,promosso
108,Martina,Ferraro,19,F,0.6,14,6.3,buono,promosso
109,Valentina,Sala,14,F,2.3,176,5.8,buono,promosso
110,Tommaso,Zhing,19,M,1.9,153,7.4,scarso,bocciato
111,Eleonora,Greco,20,F,4.9,153,6.6,sufficente,promosso
112,Silvia,Ferraro,19,F,7.2,176,9.7,ottimo,promosso
113,Giovanni,Valentini,15,M,2.2,63,5.1,sufficente,bocciato
114,Marco,Greco,19,M,7.1,64,7.2,sufficente,promosso
115,Eleonora,Mancini,19,F,3.3,99,5.6,sufficente,promosso
116,Emanuele,Cattaneo,20,M,6.4,43,9.9,buono,promosso
117,Ilaria,Ferraro,14,F,2.5,6,4.6,sufficente,bocciato
118,Maria,Serra,19,F,6.4,144,8.4,sufficente,promosso
119,Silvia,Bruno,20,F,6.4,94,9.0,buono,promosso
120,Marco,Ricci,17,M,5.3,8,9.5,buono,promosso
121,Fabio,Rinaldi,19,M,5.5,191,4.1,buono,bocciato
122,Angela,Rizzo,15,F,4.4,187,6.4,sufficente,promosso
123,Sofia,Conti,19,F,7.5,120,6.9,sufficente,promosso
124,Nicola,Farina,19,M,2.7,181,4.3,sufficente,bocciato
125,Enrico,Hallal,19,M,7.7,33,6.9,sufficente,promosso
126,Tommaso,Bellini,15,M,5.4,61,9.0,scarso,bocciato
127,Giovanni,Ricci,15,M,4.9,112,6.1,buono,promosso
128,Cristina,Lopes,14,F,3.8,17,9.7,sufficente,promosso
129,Federico,Rossi,18,M,1.1,71,8.0,scarso,bocciato
130,Tommaso,Giordano,14,M,1.2,11,9.7,scarso,bocciato
131,Matteo,Leone,20,M,6.5,176,6.7,sufficente,promosso
132,Valentina,Colombo,19,F,0.6,164,4.2,sufficente,bocciato
133,Paolo,Longo,14,M,4.4,139,4.8,scarso,bocciato
134,Alice,Cattaneo,17,F,2.6,213,6.5,buono,promosso
135,Francesco,Sanna,20,M,2.0,127,8.1,buono,promosso
136,Jack,Rinaldi,19,M,3.6,127,4.6,buono,bocciato
137,Ilaria,Pellegrini,18,F,7.3,73,6.2,buono,promosso
138,Laura,Lombardi,14,F,7.6,19,6.8,sufficente,promosso
139,Marta,Sala,18,F,3.5,98,6.2,sufficente,promosso
140,Riccardo,Martini,14,M,3.6,158,9.8,scarso,bocciato
141,Alessandro,Barbieri,18,M,6.2,78,9.4,scarso,bocciato
142,Davide,Zhing,16,M,3.4,50,6.5,scarso,bocciato
143,Barbara,Cavallaro,16,F,3.0,200,4.6,scarso,bocciato
144,Alice,Ferraro,20,F,7.7,80,5.6,ottimo,promosso
145,Roberta,Gentile,16,F,7.1,79,6.1,buono,promosso
146,Riccardo,Greco,19,M,6.0,135,9.2,buono,promosso
147,Nicole,Santoro,19,F,6.6,3,6.3,sufficente,promosso
148,Chiara,Galli,19,F,4.0,33,8.7,buono,promosso
149,Camilla,Bellini,15,F,4.6,121,5.1,buono,bocciato
150,Salvatore,Greco,14,M,5.2,86,5.0,buono,bocciato
151,Stefano,Bruno,18,M,3.0,24,5.2,buono,bocciato
152,Veronica,Costa,20,F,7.1,76,6.2,buono,promosso
153,Gabriele,Marchetti,20,M,0.3,185,6.5,ottimo,promosso
154,Martina,Romano,18,F,0.3,54,8.0,sufficente,promosso
155,Laura,Marino,15,F,4.3,205,4.3,sufficente,bocciato
156,Sofia,Ricci,20,F,5.2,111,9.5,sufficente,promosso
157,Valentina,Romano,15,F,3.5,30,4.2,buono,bocciato
158,Lorenzo,Pellegrini,18,M,4.7,20,7.6,scarso,bocciato
159,Alessandro,Sala,18,M,0.6,176,6.0,sufficente,promosso
160,Davide,Serra,16,M,6.9,57,5.3,sufficente,bocciato
161,Nicole,Monti,17,F,3.7,46,6.1,buono,promosso
162,Valentina,Santoro,16,F,4.1,31,7.1,scarso,bocciato
163,Federico,Lombardi,20,M,0.6,103,5.8,buono,promosso
164,Maurizio,Ferrari,19,M,3.4,67,4.8,sufficente,bocciato
165,Beatrice,Grassi,14,F,5.1,71,5.8,sufficente,promosso
166,Laura,Conti,14,F,1.3,122,8.3,sufficente,promosso
167,Alessandra,Ferrari,16,F,2.8,67,5.8,sufficente,promosso
168,Elisa,Fabbri,16,F,7.4,118,5.2,buono,bocciato
169,Francesca,Monti,18,F,7.3,50,8.4,buono,promosso
170,Alfio,Conti,19,M,1.6,69,4.7,sufficente,bocciato
171,Jack,Ricci,14,M,7.7,217,5.9,ottimo,promosso
172,Laura,Martinelli,15,F,6.5,155,5.0,scarso,bocciato
173,Tommaso,Pellegrini,16,M,3.6,57,7.3,sufficente,promosso
174,Gabriele,Sala,18,M,4.6,38,4.5,sufficente,bocciato
175,Maria,Pellegrini,19,F,5.9,73,5.4,buono,promosso
176,Sofia,Villa,15,F,6.8,53,6.3,buono,promosso
177,Roberta,Monti,20,F,3.8,149,8.6,scarso,bocciato
178,Maurizio,Cavallaro,14,M,0.3,77,4.1,ottimo,bocciato
179,Roberta,Piras,20,F,3.7,125,8.2,sufficente,promosso
180,Federico,Martini,14,M,2.9,47,4.8,buono,bocciato
181,Maria,Marchetti,17,F,3.9,190,4.4,buono,bocciato
182,Paolo,Costa,14,M,3.6,129,10.0,sufficente,promosso
183,Ezechiele,Longo,16,M,7.2,95,4.7,sufficente,bocciato
184,Giovanni,Fabbri,14,M,2.2,7,4.7,ottimo,bocciato
185,Jack,Santoro,14,M,0.7,203,6.9,scarso,bocciato
186,Alessandro,Santoro,20,M,0.0,196,9.4,ottimo,promosso
187,Emanuele,Cattaneo,18,M,2.3,107,8.2,sufficente,promosso
188,Simone,Pdor,18,M,5.8,210,8.0,ottimo,promosso
189,Claudia,Santoro,17,F,2.2,71,5.9,scarso,bocciato
190,Andrea,Lopes,18,M,2.0,214,8.9,sufficente,promosso
191,Anna,Santoro,18,F,4.8,148,6.7,buono,promosso
192,Maurizio,Monti,14,M,6.4,195,8.4,buono,promosso
193,Elena,Sala,15,F,5.4,129,7.7,scarso,bocciato
194,Jack,Greco,20,M,5.2,122,5.5,sufficente,promosso
195,Barbara,Pdor,20,F,0.7,20,5.2,buono,bocciato
196,Michele,Leone,16,M,5.8,26,7.8,sufficente,promosso
197,Francesca,De Luca,18,F,2.8,212,5.5,ottimo,promosso
198,Pdor,Giordano,18,M,6.9,88,5.1,sufficente,bocciato
199,Maurizio,Ferrari,18,M,0.9,81,4.5,sufficente,bocciato
200,Alessandra,Gallo,20,F,6.4,160,7.0,sufficente,promosso
201,Enrico,Bianchi,15,M,4.9,209,8.8,scarso,bocciato
202,Alice,Orlando,17,F,6.1,213,9.3,sufficente,promosso
203,Nicola,Bellini,14,M,4.4,173,9.9,scarso,bocciato
204,Davide,Cattaneo,15,M,0.5,144,9.9,sufficente,promosso
205,Martina,Marchetti,16,F,6.6,28,5.1,sufficente,bocciato
206,Claudia,Cattaneo,20,F,5.9,45,6.5,ottimo,promosso
207,Maurizio,Cavallaro,19,M,4.7,148,8.4,sufficente,promosso
208,Claudio,Fontana,16,M,1.2,61,8.6,sufficente,promosso
209,Filippo,Valentini,16,M,1.5,24,8.6,sufficente,promosso
210,Claudia,De Santis,14,F,4.7,119,8.6,sufficente,promosso
211,Camilla,Mariani,20,F,5.8,153,8.4,sufficente,promosso
212,Nicola,Lopes,14,M,1.4,136,4.7,sufficente,bocciato
213,Fabio,Pellegrini,15,M,4.0,159,7.4,buono,promosso
214,Andrea,Bellini,17,F,5.5,96,5.4,sufficente,promosso
215,Simona,Lopes,14,F,4.0,212,6.6,sufficente,promosso
216,Elisa,Giordano,16,F,0.3,200,4.1,ottimo,bocciato
217,Sofia,Crodino,16,F,7.3,194,6.5,sufficente,promosso
218,Ilaria,Pellegrini,16,F,2.1,170,5.5,buono,promosso
219,Roberta,Rossi,20,F,1.2,77,7.1,scarso,bocciato
220,Valentina,Crodino,20,F,7.0,200,7.5,buono,promosso
221,Paolo,Valentini,18,M,7.0,128,9.6,sufficente,promosso
222,Simona,Rossi,15,F,1.6,8,5.8,buono,promosso
223,Barbara,Hallal,18,F,2.4,80,8.1,buono,promosso
224,Silvia,Cattaneo,15,F,1.5,5,5.1,sufficente,bocciato
225,Alessia,Orlando,20,F,8.0,34,6.2,sufficente,promosso
226,Michele,Orlando,17,M,0.8,78,8.3,ottimo,promosso
227,Beatrice,Rizzo,19,F,7.0,40,5.8,sufficente,promosso
228,Alfio,Crodino,20,M,1.3,169,7.0,scarso,bocciato
229,Davide,Farina,14,M,4.9,134,6.7,buono,promosso
230,Roberto,Leone,15,M,2.6,60,9.9,sufficente,promosso
231,Agamennone,Ferraro,16,M,2.4,137,8.4,buono,promosso
232,Luca,Villa,18,M,5.1,150,4.5,ottimo,bocciato
233,Anna,Grassi,19,F,1.4,197,7.2,ottimo,promosso
234,Beatrice,Santoro,16,F,2.0,120,9.8,buono,promosso
235,Cristina,Marchetti,18,F,4.0,54,8.6,sufficente,promosso
236,Laura,De Santis,18,F,0.1,30,4.5,scarso,bocciato
237,Elisa,Cattaneo,15,F,2.9,147,7.8,buono,promosso
238,Antonio,Romano,19,M,2.7,44,7.9,buono,promosso
239,Andrea,Longo,19,F,6.8,20,4.9,scarso,bocciato
240,Chiara,Rinaldi,19,F,3.5,159,4.8,ottimo,bocciato
241,Nicola,Martini,16,M,0.6,199,9.8,sufficente,promosso
242,Andrea,Greco,15,M,5.3,3,4.7,sufficente,bocciato
243,Nicole,Rinaldi,15,F,6.5,100,7.2,buono,promosso
244,Jack,Martinelli,15,M,7.2,121,5.7,sufficente,promosso
245,Alice,Colombo,19,F,6.8,132,6.3,sufficente,promosso
246,Nicola,Cavallaro,14,M,6.5,183,9.5,ottimo,promosso
247,Michele,Bianchi,18,M,5.0,174,9.6,buono,promosso
248,Luca,Sanna,19,M,5.2,47,5.0,sufficente,bocciato
249,Giuseppe,Lopes,17,M,6.4,105,9.8,sufficente,promosso
250,Claudio,Lombardi,20,M,7.7,94,9.1,scarso,bocciato
251,Claudio,Sala,18,M,5.0,122,9.0,ottimo,promosso
252,Vincenzo,Colombo,15,M,7.3,219,8.7,scarso,bocciato
253,Davide,Sala,18,M,3.1,114,8.3,ottimo,promosso
254,Marta,Orlando,20,F,2.7,50,9.5,sufficente,promosso
255,Jack,Cavallaro,20,M,4.8,94,7.1,scarso,bocciato
256,Sofia,Mancini,20,F,1.9,28,5.4,buono,promosso
257,Enrico,Martinelli,19,M,6.2,111,6.3,scarso,bocciato
258,Anna,Piras,15,F,3.4,101,9.0,sufficente,promosso
259,Lorenzo,Pellegrini,20,M,2.3,179,4.2,sufficente,bocciato
260,Maria,Caruso,19,F,6.1,51,4.0,buono,bocciato
261,Elena,De Luca,14,F,1.8,131,7.6,buono,promosso
262,Barbara,Longo,18,F,7.0,134,5.8,scarso,bocciato
263,Chiara,Monti,15,F,0.8,162,4.4,sufficente,bocciato
264,Luca,Barbieri,14,M,5.6,65,6.5,buono,promosso
265,Davide,Hallal,19,M,7.5,112,4.2,buono,bocciato
266,Giulia,Colombo,20,F,6.8,130,6.9,ottimo,promosso
267,Alice,Sala,14,F,5.1,102,4.7,scarso,bocciato
268,Elisa,Fabbri,16,F,2.4,195,9.1,ottimo,promosso
269,Tommaso,Martini,19,M,1.8,97,9.2,buono,promosso
270,Alice,Barbieri,20,F,1.9,107,6.1,buono,promosso
271,Roberta,Marino,18,F,4.8,215,8.1,ottimo,promosso
272,Salvatore,Grassi,18,M,1.7,24,4.1,buono,bocciato
273,Giovanni,Gentile,16,M,4.0,35,5.0,scarso,bocciato
274,Maurizio,Valentini,14,M,6.1,43,6.6,sufficente,promosso
275,Jack,Marchetti,20,M,6.1,119,9.1,sufficente,promosso
276,Davide,Fontana,15,M,6.2,168,7.1,buono,promosso
277,Claudio,Russo,20,M,4.8,71,6.0,scarso,bocciato
278,Alice,Conti,20,F,0.8,20,8.4,buono,promosso
279,Vincenzo,Rizzo,20,M,6.7,3,9.7,buono,promosso
280,Luca,Serra,16,M,4.8,30,7.5,ottimo,promosso
281,Alessandro,Martinelli,15,M,7.4,90,9.6,scarso,bocciato
282,Sofia,Longo,14,F,2.6,84,7.3,sufficente,promosso
283,Agamennone,Sala,17,M,2.5,97,6.5,buono,promosso
284,Sara,Crodino,20,F,5.8,47,5.9,ottimo,promosso
285,Silvia,Esposito,17,F,2.5,35,4.9,buono,bocciato
286,Alessandra,Bianchi,18,F,0.9,112,4.7,ottimo,bocciato
287,Cristina,Giordano,18,F,1.6,7,8.9,buono,promosso
288,Camilla,Galli,16,F,7.8,197,5.7,scarso,bocciato
289,Salvatore,Bellini,19,M,1.0,168,4.4,buono,bocciato
290,Claudia,Moretti,14,F,3.1,189,4.6,ottimo,bocciato
291,Nicole,Sala,16,F,6.6,1,8.1,scarso,bocciato
292,Paola,Romano,20,F,1.8,42,8.6,sufficente,promosso
293,Alice,Longo,20,F,4.2,157,8.1,scarso,bocciato
294,Nicola,Costa,20,M,2.3,115,8.6,sufficente,promosso
295,Anna,Leone,15,F,0.6,125,9.2,sufficente,promosso
296,Paolo,Valentini,16,M,0.7,135,6.0,buono,promosso
297,Agamennone,Rinaldi,19,M,4.6,37,6.6,sufficente,promosso
298,Nicole,Colombo,14,F,6.6,129,4.0,scarso,bocciato
299,Eleonora,Sala,18,F,1.2,136,10.0,scarso,bocciato
300,Paolo,Fabbri,14,M,6.6,57,9.7,ottimo,promosso
301,Daniele,Bianchi,18,M,2.1,182,9.5,sufficente,promosso
302,Camilla,Caruso,19,F,6.1,187,7.9,sufficente,promosso
303,Alessandra,Farina,18,F,7.8,189,5.7,scarso,bocciato
304,Maria,Pellegrini,16,F,7.7,60,5.2,sufficente,bocciato
305,Sofia,Monti,19,F,0.4,195,5.2,scarso,bocciato
306,Eleonora,De Santis,19,F,3.5,61,4.6,buono,bocciato
307,Salvatore,Ricci,18,M,6.9,211,4.3,buono,bocciato
308,Laura,Santoro,20,F,6.4,167,6.1,sufficente,promosso
309,Tommaso,Marino,15,M,3.1,19,4.5,sufficente,bocciato
310,Angela,Crodino,15,F,5.0,158,8.0,scarso,bocciato
311,Ilaria,Greco,14,F,5.1,195,8.4,sufficente,promosso
312,Stefano,Cattaneo,20,M,6.3,165,6.1,scarso,bocciato
313,Enrico,Monti,18,M,3.3,7,6.5,sufficente,promosso
314,Ezechiele,Cattaneo,17,M,2.7,194,5.5,sufficente,promosso
315,Pdor,Pellegrini,20,M,7.6,48,5.9,ottimo,promosso
316,Federico,Marchetti,14,M,5.6,76,5.5,scarso,bocciato
317,Francesca,Cavallaro,16,F,3.9,87,4.7,buono,bocciato
318,Veronica,Romano,16,F,3.4,38,5.4,sufficente,promosso
319,Marta,Giordano,16,F,6.9,45,5.0,sufficente,bocciato
320,Alice,De Santis,18,F,6.8,120,7.7,sufficente,promosso
321,Dino,De Luca,14,M,0.7,69,8.0,scarso,bocciato
322,Davide,Fabbri,16,M,4.4,155,7.0,buono,promosso
323,Anna,Lopes,18,F,5.1,7,5.6,buono,promosso
324,Maurizio,Galli,15,M,4.8,191,9.2,sufficente,promosso
325,Laura,Marchetti,20,F,7.8,185,7.7,sufficente,promosso
326,Laura,Fontana,19,F,1.0,141,8.7,buono,promosso
327,Simona,Rizzo,14,F,6.8,194,7.3,sufficente,promosso
328,Luca,Caruso,19,M,4.9,35,5.0,buono,bocciato
329,Claudia,Pdor,14,F,1.3,25,4.5,buono,bocciato
330,Chiara,De Luca,19,F,7.2,123,4.6,scarso,bocciato
331,Alessandro,Sala,20,M,3.1,75,5.9,buono,promosso
332,Martina,Russo,20,F,1.0,70,8.8,buono,promosso
333,Davide,Piras,14,M,6.1,57,9.2,scarso,bocciato
334,Claudia,Conti,20,F,4.1,206,9.7,buono,promosso
335,Paolo,Orlando,16,M,4.5,13,4.5,sufficente,bocciato
336,Cristina,Serra,14,F,4.4,209,7.4,buono,promosso
337,Claudio,Longo,16,M,1.9,102,5.8,buono,promosso
338,Ezechiele,Piras,19,M,3.8,98,9.8,buono,promosso
339,Roberto,Fabbri,14,M,7.5,104,6.5,buono,promosso
340,Chiara,Colombo,14,F,7.4,203,9.1,sufficente,promosso
341,Francesco,Moretti,17,M,5.3,147,7.1,ottimo,promosso
342,Veronica,Lopes,16,F,3.6,49,7.6,buono,promosso
343,Stefano,Colombo,16,M,6.1,185,7.3,buono,promosso
344,Antonio,Barbieri,15,M,7.1,190,7.8,scarso,bocciato
345,Angela,Farina,19,F,4.4,129,9.4,scarso,bocciato
346,Alessandra,Orlando,16,F,4.3,103,8.8,scarso,bocciato
347,Maurizio,Ferraro,18,M,4.6,16,9.7,buono,promosso
348,Tommaso,Crodino,16,M,4.4,195,6.4,sufficente,promosso
349,Alice,Gallo,19,F,3.0,16,10.0,sufficente,promosso
350,Alice,Cattaneo,14,F,1.9,165,6.9,buono,promosso
351,Andrea,Longo,14,M,3.7,55,6.4,scarso,bocciato
352,Giovanni,Conti,20,M,5.3,37,9.5,ottimo,promosso
353,Laura,Bruno,16,F,3.2,127,7.3,buono,promosso
354,Federica,Martinelli,17,F,4.4,213,5.3,buono,bocciato
355,Paola,Colombo,18,F,7.1,181,8.7,ottimo,promosso
356,Francesco,Bianchi,17,M,0.2,106,7.4,sufficente,promosso
357,Alessia,Moretti,19,F,7.6,129,5.2,scarso,bocciato
358,Vincenzo,Ricci,14,M,6.2,133,4.5,sufficente,bocciato
359,Jack,Longo,14,M,3.8,155,5.1,buono,bocciato
360,Laura,Leone,14,F,3.1,70,6.4,buono,promosso
361,Alessia,Bianchi,20,F,4.8,96,8.3,sufficente,promosso
362,Angela,De Luca,17,F,2.3,213,4.3,scarso,bocciato
363,Enrico,Serra,15,M,7.6,55,9.8,ottimo,promosso
364,Francesca,Rizzo,16,F,0.6,31,9.6,scarso,bocciato
365,Barbara,Martinelli,20,F,5.2,149,8.3,sufficente,promosso
366,Barbara,Fabbri,19,F,1.4,150,4.3,buono,bocciato
367,Roberto,Bianchi,16,M,1.5,213,9.6,buono,promosso
368,Beatrice,Leone,20,F,3.8,204,8.2,sufficente,promosso
369,Luca,Mariani,16,M,6.4,73,9.5,ottimo,promosso
370,Giuseppe,Gallo,19,M,7.0,140,7.4,ottimo,promosso
371,Giuseppe,Marino,16,M,5.0,180,10.0,sufficente,promosso
372,Nicola,Pellegrini,20,M,0.1,178,4.2,buono,bocciato
373,Martina,Bianchi,16,F,5.6,43,4.7,buono,bocciato
374,Alessandra,Sala,14,F,3.0,71,9.6,buono,promosso
375,Daniele,Orlando,15,M,2.2,105,7.2,buono,promosso
376,Nicole,Caruso,15,F,5.4,109,6.4,scarso,bocciato
377,Giulia,Rossi,20,F,4.8,19,9.6,sufficente,promosso
378,Fabio,Sala,19,M,7.0,175,8.4,sufficente,promosso
379,Simone,Gentile,17,M,0.6,5,4.7,scarso,bocciato
380,Chiara,Cattaneo,20,F,1.1,28,9.0,buono,promosso
381,Alice,Ferrari,18,F,2.0,79,6.2,sufficente,promosso
382,Paola,Esposito,17,F,6.7,160,8.7,buono,promosso
383,Valentina,Sala,19,F,6.3,190,7.3,sufficente,promosso
384,Alessandro,Cattaneo,17,M,2.5,116,6.0,sufficente,promosso
385,Francesca,Greco,16,F,3.0,66,7.9,scarso,bocciato
386,Chiara,Marino,14,F,6.9,38,8.4,sufficente,promosso
387,Alberto,Fontana,14,M,3.0,78,4.8,buono,bocciato
388,Alessandra,Russo,17,F,2.0,38,9.9,ottimo,promosso
389,Beatrice,Valentini,17,F,0.7,171,8.7,buono,promosso
390,Roberto,Ferrari,20,M,1.1,1,5.2,sufficente,bocciato
391,Agamennone,Orlando,18,M,5.9,60,7.3,scarso,bocciato
392,Francesco,Villa,16,M,3.2,71,7.6,ottimo,promosso
393,Barbara,Fontana,16,F,3.8,40,8.5,buono,promosso
394,Marta,De Santis,18,F,3.2,88,6.5,scarso,bocciato
395,Emanuele,Ferraro,14,M,1.8,144,9.2,sufficente,promosso
396,Martina,Zhing,18,F,7.9,153,9.3,sufficente,promosso
397,Alessandra,Bellini,17,F,2.6,198,4.7,buono,bocciato
398,Anna,Farina,20,F,4.2,101,7.9,buono,promosso
399,Silvia,Caruso,20,F,5.6,142,8.2,sufficente,promosso
400,Emanuele,Sala,18,M,2.1,161,6.6,sufficente,promosso
401,Chiara,Martinelli,14,F,3.2,208,4.3,sufficente,bocciato
402,Simona,Rossi,15,F,0.8,128,5.5,sufficente,promosso
